2026-07-24 10:38:48.025 [main] INFO  o.example.network.ServerApplication - Starting ServerApplication using Java 22.0.2 with PID 13880 (C:\Users\user\Desktop\kfchess\KF_Chess\target\classes started by user in C:\Users\user\Desktop\kfchess\KF_Chess)
2026-07-24 10:38:48.027 [main] INFO  o.example.network.ServerApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-24 10:38:49.159 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-07-24 10:38:49.179 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-07-24 10:38:49.185 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-07-24 10:38:49.185 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
2026-07-24 10:38:49.278 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-07-24 10:38:49.279 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1196 ms
2026-07-24 10:38:49.645 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-07-24 10:38:49.667 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-07-24 10:38:49.674 [main] INFO  o.example.network.ServerApplication - Started ServerApplication in 2.135 seconds (process running for 2.668)
